"game_id","move","turn","game_turn_id","ad_id","message","expires_in","probability","reward"
"11zWxuYa",buy,9,65500,GY0TloFt,Escort Persefoni Padmore to thrift shoppe in Lightcawl where they can meet with their long lost bucket,7,Piece of cake,"68"
"11zWxuYa",buy,9,65500,I7C4PW5r,Help Taliesin Callow to fix their cat,1,Quite likely,"3"
"11zWxuYa",buy,9,65500,"9OhrCSho",Create an advertisement campaign for Eberhard Gregory to promote their chicken based business,2,Quite likely,"24"
"11zWxuYa",buy,9,65500,"7KpYVrBO",Help Gauri Prudhomme to reach an agreement with Shirou Hopkins on the matters of disputed water,3,Piece of cake,"6"
"11zWxuYa",buy,9,65500,LrONUq5R,Steal sheep delivery to Zedekiah Overton and share some of the profits with the people.,6,Piece of cake,"57"
"11zWxuYa",buy,9,65500,yPF3a3MZ,Help Gulisa Michael to transport a magic sheep to thrift shoppe in Thornseed,6,Walk in the park,"15"
"11zWxuYa",buy,9,65500,nptTzqUG,Create an advertisement campaign for Rosário Maddison to promote their dog based business,6,Piece of cake,"28"
"11zWxuYa",buy,9,65500,xRvKtw3U,Help Siavash Ásmundsson to sell an unordinary horse on the local market,6,Hmmm....,"33"
"11zWxuYa",buy,9,65500,owCjW8FX,Create an advertisement campaign for Rosendo Bullard to promote their turnips based business,6,Hmmm....,"41"
"11zWxuYa",buy,9,65500,"7F3rdKTZ",Create an advertisement campaign for Kasper Stoddard to promote their chariot based business,7,Walk in the park,"33"
"11zWxuYa",solve,10,65501,GY0TloFt,Escort Persefoni Padmore to thrift shoppe in Lightcawl where they can meet with their long lost bucket,6,Sure thing,"68"
"11zWxuYa",solve,10,65501,xRvKtw3U,Help Siavash Ásmundsson to sell an unordinary horse on the local market,5,Hmmm....,"33"
"11zWxuYa",solve,10,65501,nptTzqUG,Create an advertisement campaign for Rosário Maddison to promote their dog based business,5,Piece of cake,"28"
"11zWxuYa",solve,10,65501,yPF3a3MZ,Help Gulisa Michael to transport a magic sheep to thrift shoppe in Thornseed,5,Walk in the park,"15"
